"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2785","TC02002 - Password less than 6","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Register Test","",""
"","8882","Sort by Price","UI Component, Register, Filter","2026-03-07","failed","2026-03-07"," TC01009 - Sorting Filter Skenario"," TC01006 & TC01007","",""
"","3814","TC02004 - Login invalid & empty field","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Login Test","",""
"","2062","TC02003 - Login valid","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Login Test","",""
"","2305","TC01003 - User Register menggunakan valid email dan Password","","2026-03-07","passed","2026-03-07","","UI Component, Register, Filter","",""
"","41465","TC02006 - Succesful Login checkout","","2026-03-07","failed","2026-03-07","","Login with Session","",""
"","7","An uncaught error was detected outside of a test","","2026-03-07","failed","2026-03-07","","","",""
"","42295","User melakukan checkout","TC03 - User melakukan checkout tanpa Login ","2026-03-07","passed","2026-03-07","","TC03001 - User melakukan checkout tanpa Login","",""
"","3528","AI_Test","","2026-03-07","passed","2026-03-07","","","",""
"","1841","TC01002 - Check required field validation","","2026-03-07","passed","2026-03-07","","UI Component, Register, Filter","",""
"","27987","TC01004 - Check Menu pada navbar di Beranda","","2026-03-07","passed","2026-03-07","","UI Component, Register, Filter","",""
"","5289","TC01001-Unregistered user try to Login","","2026-03-07","passed","2026-03-07","","UI Component, Register, Filter","",""
"","3421","TC01006 - Check Filter Harga di Accessories","UI Component, Register, Filter","2026-03-07","passed","2026-03-07","Single Filter Skenario"," TC01006 & TC01007","",""
"","25046","TC01005 - Check Product List & Desc","","2026-03-07","passed","2026-03-07","","UI Component, Register, Filter","",""
"","9413","Sort by Default","UI Component, Register, Filter","2026-03-07","failed","2026-03-07"," TC01009 - Sorting Filter Skenario"," TC01006 & TC01007","",""
"","5010","TC01007 - Check Filter Warna di Accessories","UI Component, Register, Filter","2026-03-07","passed","2026-03-07","Single Filter Skenario"," TC01006 & TC01007","",""
"","9954","Sort by Name","UI Component, Register, Filter","2026-03-07","failed","2026-03-07"," TC01009 - Sorting Filter Skenario"," TC01006 & TC01007","",""
"","4958","TC01008 - Kombinasi Filter Harga dan Warna","UI Component, Register, Filter","2026-03-07","passed","2026-03-07","Kombinasi Filter Skenario"," TC01006 & TC01007","",""
"","1","Sort by","UI Component, Register, Filter","2026-03-07","skipped","2026-03-07"," TC01009 - Sorting Filter Skenario"," TC01006 & TC01007","",""
"","6985","TC02005 - Forgot Password","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Login Test","",""
"","1157","passes","","2026-03-07","passed","2026-03-07","","template spec","",""
"","7423","TC02003 - Login invalid & empty field","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Login Test","",""
"","5273","TC02001 - Register Duplicate","Checkout dengan Login","2026-03-07","passed","2026-03-07","","Register Test","",""
